"groups_pas","ST07","ST08","ST09","ST10","ST12","ST13","ST14","ST15","ST16","ST17","ST18","ST18-2","soundspeed","synced_time"
0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1470.24785602758,"2015-10-06 10:33:24.433384960"
0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1470.24785602758,"2015-10-06 10:43:24.433384960"
0,NA,1121.048781,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1470.24785602758,"2015-10-06 10:52:05.482166016"
0,1711.109740286,1710.98384,NA,NA,NA,NA,NA,NA,1710.971875432,NA,NA,1710.981524252,1470.24785602758,"2015-10-06 11:01:55.405260544"
0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1470.24785602758,"2015-10-06 11:13:24.433384960"
0,NA,2957.619868,NA,NA,NA,NA,NA,NA,2957.606305484,NA,2957.602684017,2957.616243727,1470.24785602758,"2015-10-06 11:22:42.036069120"
0,NA,3514.185773,NA,NA,NA,NA,3514.202230613,NA,3514.172233171,NA,3514.168506761,3514.181848398,1470.32934542033,"2015-10-06 11:31:58.601891840"
0,NA,4083.867163,NA,NA,NA,4083.931633685,4083.885417757,NA,4083.855183026,NA,4083.851617096,4083.864914396,1470.32934542033,"2015-10-06 11:41:28.285001984"
0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1470.32934542033,"2015-10-06 11:53:24.433384960"
0,NA,5329.451809,NA,NA,NA,NA,5329.469914625,NA,5329.439836318,NA,5329.436125989,5329.449543591,1470.32934542033,"2015-10-06 12:02:13.869510912"
0,NA,5965.202519,NA,NA,NA,NA,5965.221184619,NA,5965.190688476,5965.214514818,5965.187170739,5965.200489044,1470.32934542033,"2015-10-06 12:12:49.620555776"
0,NA,6573.815974,6573.861156674,NA,NA,NA,6573.833636975,NA,6573.803515417,6573.827249029,6573.799954341,6573.813193912,1470.32934542033,"2015-10-06 12:22:58.233339392"
0,NA,7127.548925,7127.593436307,7127.569645954,NA,NA,7127.566965828,7127.501236315,7127.537001937,7127.56064364,7127.533422986,7127.546618967,1470.41078723782,"2015-10-06 12:32:11.934621440"
0,NA,7691.827404,NA,NA,NA,NA,7691.845168801,7691.779300022,7691.814966161,7691.838695015,7691.811421278,7691.825083541,1470.41078723782,"2015-10-06 12:41:36.212685056"
0,NA,8276.485649,8276.530877341,NA,NA,NA,8276.503934745,8276.4380198,8276.473798826,8276.497380156,8276.469991346,8276.483422264,1470.41078723782,"2015-10-06 12:51:20.871404800"
0,NA,8902.358022,NA,NA,NA,NA,8902.377016814,8902.310143394,8902.346159511,8902.369518597,8902.34219653,8902.355685479,1470.41078723782,"2015-10-06 13:01:46.743528448"
0,NA,9491.297897,NA,NA,NA,NA,9491.316191409,9491.250190813,9491.286102118,9491.309705121,9491.282297358,9491.295657594,1470.41078723782,"2015-10-06 13:11:35.683575808"
0,NA,10125.594832,NA,NA,NA,10125.662605047,10125.613092749,NA,10125.582784002,10125.606650272,NA,10125.592570519,1470.41078723782,"2015-10-06 13:22:10.016168960"
0,NA,NA,NA,NA,NA,NA,10730.907215719,10730.840843679,10730.876779416,10730.900361278,10730.873104922,10730.886548792,1470.57013972772,"2015-10-06 13:32:15.274228736"
0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1470.57013972772,"2015-10-06 13:43:24.433384960"
0,NA,11828.976296,11829.022297795,11828.999511776,NA,NA,11828.994574578,11828.928589136,11828.964349023,11828.987966177,11828.96059396,11828.97385129,1470.57013972772,"2015-10-06 13:50:33.361974016"
0,NA,12387.987061,NA,NA,NA,NA,12388.005290389,12387.939443097,12387.975323296,12387.998739158,12387.971578111,12387.9847857,1470.57013972772,"2015-10-06 13:59:52.372828160"
0,NA,NA,NA,NA,NA,NA,NA,12962.401436065,12962.437470541,NA,NA,NA,1470.57013972772,"2015-10-06 14:09:26.834821120"
0,NA,13567.772681,NA,NA,NA,NA,13567.790897141,13567.725007958,13567.760863904,13567.784569219,13567.757150254,13567.770246419,1470.57013972772,"2015-10-06 14:19:32.158392832"
0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1470.65144091706,"2015-10-06 14:33:24.433384960"
0,NA,15224.463208,NA,NA,NA,NA,15224.481479434,15224.415516143,15224.451214089,15224.474856091,15224.44763172,15224.460870608,1470.65144091706,"2015-10-06 14:47:08.848901120"
0,15798.537986555,15798.412729,NA,15798.434797215,NA,NA,15798.429274997,15798.363217818,15798.399070483,15798.422787349,15798.395475307,15798.408599143,1470.65144091706,"2015-10-06 14:56:42.796602880"
0,16402.981071853,16402.854052,NA,16402.878426447,NA,NA,NA,16402.806305561,16402.842182003,NA,NA,NA,1470.65144091706,"2015-10-06 15:06:47.239690496"
0,NA,16948.637533,16948.684465839,NA,NA,16948.704121564,16948.655714983,16948.589683504,16948.625635108,16948.649396095,16948.621925784,16948.635218466,1470.65144091706,"2015-10-06 15:15:53.023068416"
0,NA,17496.718576,NA,17496.742094653,NA,NA,17496.736765375,17496.670923611,17496.706739309,17496.730420007,17496.702986182,17496.716369735,1470.7326946091,"2015-10-06 15:25:01.104308736"
0,NA,NA,NA,NA,NA,NA,NA,18049.645980857,NA,NA,NA,NA,1470.7326946091,"2015-10-06 15:34:14.079365888"
0,NA,18612.301146,NA,NA,NA,NA,18612.319347701,18612.253375374,18612.289535984,18612.312924125,18612.285594612,18612.298844948,1470.7326946091,"2015-10-06 15:43:36.686760448"
0,19194.772597583,19194.646229,19194.689008452,19194.668496101,NA,NA,19194.664263439,19194.598436184,19194.634214577,19194.657763324,19194.630503794,19194.643920955,1470.7326946091,"2015-10-06 15:53:19.031821312"
0,NA,19816.359869,19816.404683053,NA,NA,NA,19816.378234549,19816.312131567,19816.348060048,19816.371598648,19816.344377603,19816.357844251,1470.7326946091,"2015-10-06 16:03:40.745516544"
0,NA,20396.45599,20396.49978589,NA,NA,NA,20396.474197364,20396.408230382,20396.443986496,20396.46758888,20396.440421671,20396.453851966,1470.7326946091,"2015-10-06 16:13:20.841615360"
0,NA,21012.973915,NA,NA,NA,NA,21012.991579396,21012.925214925,21012.961042652,21012.984643436,21012.957279719,21012.970954648,1470.7326946091,"2015-10-06 16:23:37.358599936"
0,NA,21582.683205,21582.728233976,NA,NA,NA,21582.701566105,21582.635588922,21582.671588437,21582.695071989,21582.667692155,21582.681130503,1470.7326946091,"2015-10-06 16:33:07.068973824"
0,NA,22179.188957,NA,NA,NA,NA,22179.207277268,22179.141311426,22179.177268265,22179.200686765,22179.17327225,22179.18686126,1470.7326946091,"2015-10-06 16:43:03.574696448"
0,NA,22828.425548,22828.469996747,NA,NA,NA,22828.443358015,22828.377442246,22828.413432075,22828.436890287,22828.409602317,22828.423015722,1470.7326946091,"2015-10-06 16:53:52.810827264"
0,NA,23464.179858,NA,NA,NA,NA,23464.198127464,23464.132201405,23464.168181019,23464.19170433,23464.164350179,23464.177788458,1470.7326946091,"2015-10-06 17:04:28.565586432"
0,NA,24072.417119,NA,24072.443057356,NA,24072.484374631,24072.435288133,24072.369425411,24072.405313062,24072.428849561,24072.401641027,24072.415010628,1470.7326946091,"2015-10-06 17:14:36.802810368"
0,NA,24625.838575,24625.883902319,NA,NA,24625.904017644,24625.85672236,24625.790874979,24625.826804163,24625.850351998,24625.823016627,24625.836334551,1470.7326946091,"2015-10-06 17:23:50.224260096"
0,NA,25189.506264,NA,NA,NA,NA,25189.524737567,25189.458552541,25189.494579146,25189.51812035,25189.491026081,25189.504283169,1470.7326946091,"2015-10-06 17:33:13.891937536"
